roi_id,cell_label,cell_voxels,n_overlapping_markers,marker_label,overlap_voxels,overlap_fraction_of_cell,y_min,y_max,x_min,x_max
1,52,5471,1,56.0,806,0.14732224456223725,0,1944,0,2295
1,53,795,0,,0,0.0,0,1944,0,2295
1,54,707,0,,0,0.0,0,1944,0,2295
1,55,588,0,,0,0.0,0,1944,0,2295
1,56,8500,1,63.0,908,0.1068235294117647,0,1944,0,2295
1,57,5180,0,,0,0.0,0,1944,0,2295
1,58,7438,2,61.0,968,0.13014251142780317,0,1944,0,2295
1,58,7438,2,64.0,771,0.1036568970153267,0,1944,0,2295
1,59,932,0,,0,0.0,0,1944,0,2295
1,60,6582,2,65.0,841,0.12777271346095412,0,1944,0,2295
1,60,6582,2,63.0,29,0.004405955636584625,0,1944,0,2295
1,61,9145,1,62.0,21,0.0022963367960634226,0,1944,0,2295
1,62,5298,1,68.0,663,0.12514156285390712,0,1944,0,2295
1,63,7930,1,66.0,722,0.09104665825977301,0,1944,0,2295
1,64,9581,3,70.0,1282,0.13380649201544723,0,1944,0,2295
1,64,9581,3,75.0,200,0.020874647740319382,0,1944,0,2295
1,64,9581,3,74.0,3,0.00031311971610479075,0,1944,0,2295
1,65,4930,1,67.0,789,0.16004056795131846,0,1944,0,2295
1,66,4508,2,69.0,818,0.18145519077196096,0,1944,0,2295
1,66,4508,2,68.0,1,0.00022182786157941438,0,1944,0,2295
1,67,11443,1,77.0,749,0.0654548632351656,0,1944,0,2295
1,68,5671,1,72.0,1130,0.19925938987832834,0,1944,0,2295
1,69,8967,4,71.0,659,0.07349169175867068,0,1944,0,2295
1,69,8967,4,79.0,544,0.06066688970670235,0,1944,0,2295
1,69,8967,4,78.0,534,0.05955168952827032,0,1944,0,2295
1,69,8967,4,73.0,409,0.04561168729786997,0,1944,0,2295
1,70,3651,0,,0,0.0,0,1944,0,2295
1,71,4173,1,71.0,12,0.002875629043853343,0,1944,0,2295
1,72,7043,3,82.0,935,0.1327559278716456,0,1944,0,2295
1,72,7043,3,74.0,830,0.1178475081641346,0,1944,0,2295
1,72,7043,3,75.0,284,0.04032372568507738,0,1944,0,2295
1,73,6109,3,76.0,899,0.14715992797511868,0,1944,0,2295
1,73,6109,3,75.0,127,0.02078899983630709,0,1944,0,2295
1,73,6109,3,80.0,61,0.009985267637911278,0,1944,0,2295
1,74,7851,3,83.0,887,0.11297923831359062,0,1944,0,2295
1,74,7851,3,81.0,713,0.09081645650235638,0,1944,0,2295
1,74,7851,3,75.0,267,0.03400840657241116,0,1944,0,2295
1,75,8974,1,90.0,642,0.07154000445732114,0,1944,0,2295
1,76,9027,1,84.0,1093,0.12108120084191869,0,1944,0,2295
1,77,5232,3,88.0,747,0.14277522935779816,0,1944,0,2295
1,77,5232,3,85.0,19,0.0036314984709480123,0,1944,0,2295
1,77,5232,3,86.0,17,0.003249235474006116,0,1944,0,2295
1,78,326,2,89.0,80,0.24539877300613497,0,1944,0,2295
1,78,326,2,91.0,73,0.22392638036809817,0,1944,0,2295
1,79,10043,5,95.0,1049,0.10445086129642538,0,1944,0,2295
1,79,10043,5,94.0,897,0.08931594145175745,0,1944,0,2295
1,79,10043,5,91.0,807,0.0803544757542567,0,1944,0,2295
1,79,10043,5,98.0,305,0.030369411530419197,0,1944,0,2295
1,79,10043,5,89.0,246,0.024494672906502042,0,1944,0,2295
1,80,3633,1,93.0,2014,0.5543627855766584,0,1944,0,2295
1,81,4050,1,96.0,812,0.20049382716049383,0,1944,0,2295
1,82,14714,1,101.0,1064,0.07231208372978117,0,1944,0,2295
1,83,12146,1,100.0,1102,0.09072945825786267,0,1944,0,2295
1,84,8604,1,103.0,1257,0.14609483960948397,0,1944,0,2295
1,85,7368,1,102.0,971,0.13178610206297503,0,1944,0,2295
1,86,16133,2,106.0,830,0.051447343953387466,0,1944,0,2295
1,86,16133,2,104.0,703,0.04357528048100168,0,1944,0,2295
1,87,4831,1,105.0,830,0.17180707927965225,0,1944,0,2295
1,88,6842,1,107.0,910,0.13300204618532593,0,1944,0,2295
1,89,12596,2,110.0,567,0.04501429025087329,0,1944,0,2295
1,89,12596,2,109.0,492,0.03906001905366783,0,1944,0,2295
1,90,5488,0,,0,0.0,0,1944,0,2295
1,91,3725,1,108.0,2209,0.5930201342281879,0,1944,0,2295
1,92,11959,0,,0,0.0,0,1944,0,2295
1,93,9219,1,116.0,1228,0.1332031673717323,0,1944,0,2295
1,94,15922,2,112.0,1143,0.07178746388644643,0,1944,0,2295
1,94,15922,2,111.0,766,0.04810953397814345,0,1944,0,2295
1,95,2670,1,115.0,429,0.16067415730337078,0,1944,0,2295
1,96,3240,1,113.0,767,0.2367283950617284,0,1944,0,2295
1,97,1569,1,114.0,504,0.32122370936902483,0,1944,0,2295
1,98,1874,1,117.0,505,0.2694770544290288,0,1944,0,2295
1,99,4589,0,,0,0.0,0,1944,0,2295
1,100,1469,0,,0,0.0,0,1944,0,2295
1,101,2883,0,,0,0.0,0,1944,0,2295
1,102,4523,0,,0,0.0,0,1944,0,2295
1,103,365,0,,0,0.0,0,1944,0,2295
